reference	sample	size	ex.itsx	ex.wirt	ex.lichen	ex.fun	ex.liquenicola	ex.tra
ITA87PB02CYCFC	Leca_schw+N+A227	4779	0	0	0	0	0	0
ITA87PB02DNU1U	Rhi_geo+N+A172	2710	0	1	1	0	0	1
ITA87PB02ELRW5	Teph_atr+N+A361	2438	0	0	0	0	0	0
ITA87PB02DB5LG	Leci_lap+N+A792	2314	0	1	1	0	0	1
ITA87PB02DU4HT	Aspi_myr+Sag_fis+A608	2110	0	1	1	0	0	1
ITA87PB02DZURK	Leci_lap+N+A792	2040	0	1	1	0	0	1
ITA87PB02EKIO9	Leci_lap+Mue_pyg+A636	1979	0	1	1	0	0	1
ITA87PB02EJF8C	Teph_atr+Sky_teph+A280	1942	0	0	0	0	0	0
ITA87PB02D09RV	Rhi_geo+Endo_macro+A194	1897	0	1	1	0	0	1
ITA87PB02C6785	Teph_atr+N+A361	1800	0	0	0	0	0	0
ITA87PB02DEEC9	Leca_bic+Arth_var+A832	1736	0	1	1	0	0	1
ITA87PB02EECBO	Leci_lap+Mue_pyg+A636	1708	0	1	1	0	0	1
ITA87PB02DHNWF	Aspi_myr+Sag_fis+A608	1677	0	1	1	0	0	1
ITA87PB02D8COF	Teph_atr+Tae_atr+A809	1676	0	0	0	0	0	0
ITA87PB02DJIDF	Teph_atr+Tae_atr+A809	1578	0	0	0	0	0	0
ITA87PB02EP4MK	Psori_con+N+A229	1396	0	1	1	0	0	1
ITA87PB02EFNE1	Vari_lac+Stig_eucl+A622	1335	0	0	0	0	0	0
ITA87PB02DOA4D	Leca_intr+N+A360	1281	0	0	0	0	0	0
ITA87PB02CXL0N	Leca_bic+Arth_var+A832	1276	0	1	1	0	0	1
ITA87PB02EBH82	Leca_bic+N+A368	1238	0	1	1	0	0	1
ITA87PB02DD3TT	Leca_intr+N+A360	932	0	0	0	0	0	0
ITA87PB02DKPKL	Rhi_geo+Mue_pyg+A405	928	0	1	1	0	0	1
ITA87PB02DRJW5	Rhi_geo+Endo_macro+A194	919	0	1	1	0	0	1
ITA87PB02DKKKB	Vari_lac+Stig_eucl+A622	889	0	0	0	0	0	0
ITA87PB02DFHJT	Teph_atr+Sky_teph+A280	746	0	0	0	0	0	0
ITA87PB02C48ER	Leca_poly+Lich_lec+A418	711	0	1	1	0	0	1
ITA87PB02DP5DW	Aspi_myr+N+A420	700	0	1	1	0	0	1
ITA87PB02DT0JT	Rhi_geo+Endo_macro+A194	683	0	0	0	0	0	0
ITA87PB02DJ5OM	Psori_con+N+A229	681	0	1	1	0	0	1
ITA87PB02DA7NK	Leca_poly+Cer_epi+A482	591	0	0	0	0	0	1
ITA87PB02DUH4C	Psori_con+N+A476	503	0	1	1	0	0	1
ITA87PB02EKGBC	Umb_cyl+N+A032	496	0	0	0	0	0	0
ITA87PB02ENF3B	Leca_poly+Mue_pyg+A670	474	0	0	0	0	0	0
ITA87PB02CY0HB	Vari_lac+Stig_eucl+A622	459	0	1	1	0	0	1
ITA87PB02DSAVN	Psori_con+N+A229	451	0	1	1	0	0	1
ITA87PB02C0F60	Rhi_geo+N+A172	450	0	1	1	0	0	1
ITA87PB02EJ3ZB	Leca_poly+Mue_pyg+A670	429	0	0	0	0	0	0
ITA87PB02D4OA3	Teph_atr+Sky_teph+A280	427	0	0	0	0	0	0
ITA87PB02DTIRA	Can_vit+N+A138	425	0	1	1	0	0	1
ITA87PB02DVMOH	Umb_cyl+N+A032	401	0	0	0	0	0	0
