"" "reference" "size" "megan.taxonomy" "classification" "identity" "OTU_A" "OTU_B" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"ITA87PB02CYCFC" "A227" "ITA87PB02CYCFC" "4779" " Not assigned; 100;" "otu" "*" "OTU_1" "0" "Fungi" "-200.324903090482" "Basidiomycota" "-97.9125467100759" "Tremellomycetes" "-97.9125467100759" "Tremellales" "-97.9125467100759" "Sirobasidiaceae" "-97.9125467100759" "Sirobasidium" "-43.9722603182011" "Tremellaceae" "-75.9853080688035"
"ITA87PB02DNU1U" "A172" "ITA87PB02DNU1U" "2710" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "otu" "60.2" "OTU_2" "OTU_1" "Fungi" "-193.640291362814" "Ascomycota" "-193.640291362814" "Lecanoromycetes" "-193.640291362814" "Rhizocarpales" "-193.640291362814" "Rhizocarpaceae" "-193.640291362814" "Rhizocarpon" "-193.640291362814" "Rhizocarpon" "-193.640291362814"
"ITA87PB02ELRW5" "A361" "ITA87PB02ELRW5" "2438" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "otu" "73.2" "OTU_3" "OTU_1" "Fungi" "-131.247350300661" "Basidiomycota" "-131.247350300661" "Tremellomycetes" "-131.247350300661" "Tremellales" "-131.247350300661" "Sirobasidiaceae" "-131.247350300661" "Penicillium/Talaromyces" "-53.0648176545209" "Tremellomycetes" "-94.4059888127559"
"ITA87PB02DB5LG" "A792" "ITA87PB02DB5LG" "2314" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 92; Lecanorineae; 92; Parmeliaceae; 75; Usnea; 75; Usnea wasmuthii; 42;" "otu" "68.7" "OTU_4" "OTU_2" "Fungi" "-176.605904979982" "Ascomycota" "-176.605904979982" "Lecanoromycetes" "-176.605904979982" "Lecanorales" "-176.605904979982" "Parmeliaceae" "-176.605904979982" "Usnea" "-176.605904979982" "Usnea" "-176.605904979982"
"ITA87PB02DU4HT" "A608" "ITA87PB02DU4HT" "2110" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria decussata; 25;" "otu" "76.9" "OTU_5" "OTU_2" "Fungi" "-173.050556918492" "Ascomycota" "-173.050556918492" "Lecanoromycetes" "-173.050556918492" "Umbilicariales" "-173.050556918492" "Umbilicariaceae" "-173.050556918492" "Umbilicaria" "-173.050556918492" "Umbilicaria" "-173.050556918492"
"ITA87PB02DZURK" "A792" "ITA87PB02DZURK" "2040" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 92; Lecanorineae; 92; Parmeliaceae; 75; Usnea; 75; Usnea wasmuthii; 42;" "match" "100.0" "OTU_4" "0" "Fungi" "-176.605904979982" "Ascomycota" "-176.605904979982" "Lecanoromycetes" "-176.605904979982" "Lecanorales" "-176.605904979982" "Parmeliaceae" "-176.605904979982" "Usnea" "-176.605904979982" "Usnea" "-176.605904979982"
"ITA87PB02EKIO9" "A636" "ITA87PB02EKIO9" "1979" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecideales; 100; Lecideaceae; 100; Lecidea; 100; Lecidea lapicida; 100; Lecidea lapicida var. lapicida; 100;" "otu" "79.2" "OTU_6" "OTU_4" "Fungi" "-308.65176297686" "Ascomycota" "-308.65176297686" "Lecanoromycetes" "-308.65176297686" "Lecideales" "-308.65176297686" "Lecideaceae" "-308.65176297686" "Lecidea" "-308.65176297686" "Lecidea" "-308.65176297686"
"ITA87PB02EJF8C" "A280" "ITA87PB02EJF8C" "1942" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "otu" "94.6" "OTU_7" "OTU_3" "Fungi" "-135.159373306089" "Basidiomycota" "-135.159373306089" "Tremellomycetes" "-135.159373306089" "Tremellales" "-135.159373306089" "Sirobasidiaceae" "-135.159373306089" "Cryptococcus" "-82.1999161672257" "Tremellomycetes" "-86.3996212451056"
"ITA87PB02D09RV" "A194" "ITA87PB02D09RV" "1897" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "otu" "91.2" "OTU_8" "OTU_2" "Fungi" "-248.679190043357" "Ascomycota" "-248.679190043357" "Lecanoromycetes" "-248.679190043357" "Rhizocarpales" "-248.679190043357" "Rhizocarpaceae" "-248.679190043357" "Rhizocarpon" "-248.679190043357" "Rhizocarpon" "-248.679190043357"
"ITA87PB02C6785" "A361" "ITA87PB02C6785" "1800" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "match" "100.0" "OTU_3" "0" "Fungi" "-131.247350300661" "Basidiomycota" "-131.247350300661" "Tremellomycetes" "-131.247350300661" "Tremellales" "-131.247350300661" "Sirobasidiaceae" "-131.247350300661" "Penicillium/Talaromyces" "-53.0648176545209" "Tremellomycetes" "-94.4059888127559"
"ITA87PB02DEEC9" "A832" "ITA87PB02DEEC9" "1736" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora rupicola; 83;" "otu" "82.4" "OTU_9" "OTU_4" "Fungi" "-300.94550000166" "Ascomycota" "-300.94550000166" "Lecanoromycetes" "-300.94550000166" "Lecanorales" "-300.94550000166" "Lecanoraceae" "-300.94550000166" "Lecanora" "-300.94550000166" "Lecanora" "-300.94550000166"
"ITA87PB02EECBO" "A636" "ITA87PB02EECBO" "1708" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecideales; 100; Lecideaceae; 100; Lecidea; 100; Lecidea lapicida; 100; Lecidea lapicida var. lapicida; 100;" "match" "100.0" "OTU_6" "0" "Fungi" "-308.65176297686" "Ascomycota" "-308.65176297686" "Lecanoromycetes" "-308.65176297686" "Lecideales" "-308.65176297686" "Lecideaceae" "-308.65176297686" "Lecidea" "-308.65176297686" "Lecidea" "-308.65176297686"
"ITA87PB02DHNWF" "A608" "ITA87PB02DHNWF" "1677" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria decussata; 25;" "match" "100.0" "OTU_5" "0" "Fungi" "-173.050556918492" "Ascomycota" "-173.050556918492" "Lecanoromycetes" "-173.050556918492" "Umbilicariales" "-173.050556918492" "Umbilicariaceae" "-173.050556918492" "Umbilicaria" "-173.050556918492" "Umbilicaria" "-173.050556918492"
"ITA87PB02D8COF" "A809" "ITA87PB02D8COF" "1676" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; unclassified Ascomycota; 25; Ascomycota sp. AR-2010; 25;" "otu" "70.4" "OTU_10" "OTU_2" "Fungi" "-270.606428684629" "Ascomycota" "-270.606428684629" "Dothideomycetes" "-270.606428684629" "Capnodiales" "-246.376604950363" "Teratosphaeriaceae" "-226.857311917742" "Penidiella" "-226.857311917742" "Dothideomycetes" "-253.795185853111"
"ITA87PB02DJIDF" "A809" "ITA87PB02DJIDF" "1578" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; unclassified Ascomycota; 25; Ascomycota sp. AR-2010; 25;" "match" "100.0" "OTU_10" "0" "Fungi" "-270.606428684629" "Ascomycota" "-270.606428684629" "Dothideomycetes" "-270.606428684629" "Capnodiales" "-246.376604950363" "Teratosphaeriaceae" "-226.857311917742" "Penidiella" "-226.857311917742" "Dothideomycetes" "-253.795185853111"
"ITA87PB02EP4MK" "A229" "ITA87PB02EP4MK" "1396" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora pringlei; 100;" "otu" "86.7" "OTU_11" "OTU_4" "Fungi" "-233.071920016165" "Ascomycota" "-233.071920016165" "Lecanoromycetes" "-233.071920016165" "Lecanorales" "-233.071920016165" "Lecanoraceae" "-233.071920016165" "Lecanora" "-233.071920016165" "Lecanora" "-233.071920016165"
"ITA87PB02EFNE1" "A622" "ITA87PB02EFNE1" "1335" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; dothideomyceta; 100; Dothideomycetes; 100; Dothideomycetidae; 100; Capnodiales; 100; Mycosphaerellaceae; 100; Mycosphaerella; 100; Mycosphaerella sp. L357; 50;" "otu" "83.9" "OTU_12" "OTU_10" "Fungi" "-205.153216827784" "Ascomycota" "-205.153216827784" "Dothideomycetes" "-205.153216827784" "Capnodiales" "-205.153216827784" "Mycosphaerellaceae" "-205.153216827784" "Mycosphaerella" "-205.153216827784" "Mycosphaerella" "-205.153216827784"
