"Acarosporales" "Agaricales" "Agaricostilbales" "Agyriales" "Atheliales" "Blastocladiales" "Boletales" "Botryosphaeriales" "Candelariales" "Cantharellales" "Capnodiales" "Chaetosphaeriales" "Chaetothyriales" "Cystofilobasidiales" "Diaporthales" "Dothideales" "Eurotiales" "Filobasidiales" "Glomerales" "Helotiales" "Hymenochaetales" "Hypocreales" "Lecanorales" "Lecideales" "Leotiales" "Mycocaliciales" "Myriangiales" "Onygenales" "Orbiliales" "Ostropales" "Peltigerales" "Pertusariales" "Pezizales" "Pleosporales" "Polyporales" "Pyrenulales" "Rhizocarpales" "Rhytismatales" "Russulales" "Saccharomycetales" "Sebacinales" "Taphrinales" "Teloschistales" "Thelebolales" "Thelephorales" "Trechisporales" "Tremellales" "unidentified" "Verrucariales" "Xylariales"
"A032" 3 0 0 127 0 1 1 2017 6 4 45 0 6 0 0 49 1 0 0 17 0 96 7 6 1 6 0 34 6 0 0 4 0 17 8 0 7 0 0 1 0 0 0 9 24 0 7 225 1 5
"A138" 0 0 0 1 0 0 0 1 0 0 0 3 11 0 0 27 2 0 0 2 0 0 0 0 0 0 0 83 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 37 0 3 0
"A172" 0 0 0 0 0 0 0 22 0 0 0 0 1 0 0 44 2 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0
"A194" 0 0 0 0 0 0 0 36 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 952 0
"A227" 0 0 0 0 0 0 0 1 0 0 2 0 5 0 0 0 0 0 1 2 0 1 1 0 0 0 19 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 6163 3 5 0
"A229" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 39 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 7 0 1 0
"A243" 72 0 1 0 0 0 0 2 5 0 49 18 694 0 0 75 3 2 0 5 0 2 283 0 7 0 17 81 1 0 3 1 59 85 0 0 0 13 0 0 0 0 10 0 0 1 301 537 46 0
"A280" 0 5 0 1 1 0 0 29 6 0 112 0 711 4 1 4 2 0 0 1 2 13 23 0 0 1 146 811 0 424 1 0 0 11 3 0 1 0 0 0 2 4 0 0 0 2 3466 8 0 0
"A360" 0 0 0 49 0 0 0 368 5 0 9 2 123 0 0 282 2 0 0 8 0 93 1409 0 0 4 1 30 0 0 1 0 0 1 0 16 0 0 1 0 0 0 0 0 0 0 2309 494 1 0
"A361" 0 0 0 6 0 0 0 3 0 0 6 0 4 0 0 107 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5822 1 0 0
"A368" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
