"sample" "reference" "size" "megan.taxonomy" "OTU" "exclude.itsx" "exclude.lc" "exclude.lichen" "exclude.smallotus" "ref.otu" "size.otu" "hit.otu" "kingdom" "evk" "division" "evd" "class" "evc" "order" "evo" "family" "evf" "genus" "evg" "species" "evs"
"ITA87PB02CYCFC" "A227" "ITA87PB02CYCFC" "4779" " Not assigned" "1" "0" "0" "0" "0" "ITA87PB02CYCFC" "6312" "JN906464" "Fungi" "-88.1913807143337" "Basidiomycota" "-19.1138279245123" "Tremellomycetes" "-19.1138279245123" "Tremellales" "-19.1138279245123" "unidentified" "-88.1913807143337" "unidentified" "-88.1913807143337" "Tremellomycetes" "-15.4249484703984"
"ITA87PB02ELRW5" "A361" "ITA87PB02ELRW5" "2438" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02EJF8C" "A280" "ITA87PB02EJF8C" "1942" " Fibulobasidium" "7" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02C6785" "A361" "ITA87PB02C6785" "1800" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02D8COF" "A809" "ITA87PB02D8COF" "1676" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DJIDF" "A809" "ITA87PB02DJIDF" "1578" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02EFNE1" "A622" "ITA87PB02EFNE1" "1335" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DOA4D" "A360" "ITA87PB02DOA4D" "1281" " Fibulobasidium" "13" "0" "0" "0" "0" "ITA87PB02DOA4D" "1574" "KF823589" "Fungi" "-114.030642361034" "Basidiomycota" "-114.030642361034" "Tremellomycetes" "-114.030642361034" "Tremellales" "-114.030642361034" "Sirobasidiaceae" "-114.030642361034" "unidentified" "-114.030642361034" "uncultured" "-114.030642361034"
"ITA87PB02DD3TT" "A360" "ITA87PB02DD3TT" "932" " Devriesia fraseriae" "14" "0" "0" "0" "0" "ITA87PB02DD3TT" "1339" "FJ265759" "Fungi" "-62.2751580264971" "Ascomycota" "-62.2751580264971" "Dothideomycetes" "-62.2751580264971" "Capnodiales" "-62.2751580264971" "Mycosphaerellaceae" "-62.2751580264971" "Mycosphaerella" "-62.2751580264971" "Mycosphaerella" "-62.2751580264971"
"ITA87PB02DKKKB" "A622" "ITA87PB02DKKKB" "889" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DFHJT" "A280" "ITA87PB02DFHJT" "746" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02DT0JT" "A194" "ITA87PB02DT0JT" "683" " Bagliettoa marmorea" "17" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Ascomycota" NA "Eurotiomycetes" NA "Verrucariales" NA "Verrucariaceae" NA "Endococcus?" NA "Endococcus macrosporus" NA
"ITA87PB02EKGBC" "A032" "ITA87PB02EKGBC" "496" " Ascomycota" "20" "0" "0" "0" "0" "ITA87PB02EKGBC" "1099" "KF274189" "Fungi" "-218.052436653874" "Ascomycota" "-210.451534194332" "Dothideomycetes" "-210.451534194332" "Botryosphaeriales" "-210.451534194332" "unidentified" "-218.052436653874" "unidentified" "-218.052436653874" "Ascomycota" "-210.451534194332"
"ITA87PB02ENF3B" "A670" "ITA87PB02ENF3B" "474" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02EJ3ZB" "A670" "ITA87PB02EJ3ZB" "429" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02D4OA3" "A280" "ITA87PB02D4OA3" "427" " Chaetothyriales sp. 16708" "24" "0" "0" "0" "0" "ITA87PB02D4OA3" " 961" "EF159564" "Fungi" "-211.837828555452" "Ascomycota" "-208.148949101338" "Eurotiomycetes" "-208.148949101338" "Chaetothyriales" "-208.148949101338" "Herpotrichiellaceae" "-208.148949101338" "Cladophialophora" "-208.148949101338" "Cladophialophora" "-208.148949101338"
"ITA87PB02DVMOH" "A032" "ITA87PB02DVMOH" "401" " Ascomycota" "20" "0" "0" "0" "0" "ITA87PB02EKGBC" "1099" "KF274189" "Fungi" "-218.052436653874" "Ascomycota" "-210.451534194332" "Dothideomycetes" "-210.451534194332" "Botryosphaeriales" "-210.451534194332" "unidentified" "-218.052436653874" "unidentified" "-218.052436653874" "Ascomycota" "-210.451534194332"
"ITA87PB02ERHWS" "A360" "ITA87PB02ERHWS" "392" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DYC5S" "A032" "ITA87PB02DYC5S" "352" " Ascomycota" "27" "0" "0" "0" "0" "ITA87PB02DYC5S" " 713" "KF274189" "Fungi" "-206.539511188904" "Ascomycota" "-206.539511188904" "Dothideomycetes" "-206.539511188904" "Botryosphaeriales" "-206.539511188904" "unidentified" "-206.539511188904" "unidentified" "-206.539511188904" "Ascomycota" "-206.539511188904"
"ITA87PB02C48DP" "A280" "ITA87PB02C48DP" "325" " Catenulostroma hermanusense" "28" "0" "0" "0" "0" "ITA87PB02C48DP" " 855" "AY843175" "Fungi" "-164.687514406903" "Ascomycota" "-164.687514406903" "Dothideomycetes" "-164.687514406903" "Capnodiales" "-164.687514406903" "Teratosphaeriaceae" "-139.071396311517" "Catenulostroma" "-139.071396311517" "Capnodiales" "-164.687514406903"
"ITA87PB02DIBI0" "A360" "ITA87PB02DIBI0" "313" " Ascomycota" "29" "0" "0" "0" "0" "ITA87PB02DIBI0" " 520" "AM999707" "Fungi" "-218.052436653874" "Ascomycota" "-218.052436653874" "Dothideomycetes" "-210.451534194332" "Botryosphaeriales" "-210.451534194332" "unidentified" "-218.052436653874" "unidentified" "-218.052436653874" "Ascomycota" "-218.052436653874"
"ITA87PB02EPVL5" "A243" "ITA87PB02EPVL5" "303" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02DW0XI" "A032" "ITA87PB02DW0XI" "302" " Ascomycota" "27" "0" "0" "0" "0" "ITA87PB02DYC5S" " 713" "KF274189" "Fungi" "-206.539511188904" "Ascomycota" "-206.539511188904" "Dothideomycetes" "-206.539511188904" "Botryosphaeriales" "-206.539511188904" "unidentified" "-206.539511188904" "unidentified" "-206.539511188904" "Ascomycota" "-206.539511188904"
"ITA87PB02ETYBM" "A440" "ITA87PB02ETYBM" "288" " Fibulobasidium" "30" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02DAZ18" "A670" "ITA87PB02DAZ18" "273" " Micarea nitschkeana" "31" "0" "0" "0" "0" "ITA87PB02DAZ18" " 721" "JN904297" "Fungi" "-163.483541602577" "Ascomycota" "-148.058593132179" "Lecanoromycetes" "-148.058593132179" "Lecanorales" "-148.058593132179" "Byssolomataceae" "-148.058593132179" "Micarea" "-148.058593132179" "Micarea" "-148.058593132179"
"ITA87PB02EBZ3M" "A227" "ITA87PB02EBZ3M" "273" " Not assigned" "1" "0" "0" "0" "0" "ITA87PB02CYCFC" "6312" "JN906464" "Fungi" "-88.1913807143337" "Basidiomycota" "-19.1138279245123" "Tremellomycetes" "-19.1138279245123" "Tremellales" "-19.1138279245123" "unidentified" "-88.1913807143337" "unidentified" "-88.1913807143337" "Tremellomycetes" "-15.4249484703984"
"ITA87PB02DQB5N" "A434" "ITA87PB02DQB5N" "263" " Ascomycota sp. CH-Fn22" "32" "0" "0" "0" "0" "ITA87PB02DQB5N" " 792" "KF516946" "Fungi" "-129.050125723324" "Ascomycota" "-106.024274793384" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "fungal" "-129.050125723324"
"ITA87PB02DK85F" "A280" "ITA87PB02DK85F" "263" " Skyttea gregaria" "33" "0" "0" "0" "0" "ITA87PB02DK85F" " 414" "KJ559537" "Fungi" "-123.6464" "Ascomycota" "-123.6464" "Lecanoromycetes" "-123.6464" "Ostropales" "-123.6464" "Odontotremataceae" "-123.6464" "Skyttea" "-123.6464" "Skyttea" "-123.6464"
"ITA87PB02DP9DB" "A792" "ITA87PB02DP9DB" "259" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DWHIU" "A608" "ITA87PB02DWHIU" "251" " Ascomycota" "34" "0" "0" "0" "0" "ITA87PB02DWHIU" " 870" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
"ITA87PB02D7CAI" "A243" "ITA87PB02D7CAI" "237" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02EF6OW" "A670" "ITA87PB02EF6OW" "232" " Micarea nitschkeana" "31" "0" "0" "0" "0" "ITA87PB02DAZ18" " 721" "JN904297" "Fungi" "-163.483541602577" "Ascomycota" "-148.058593132179" "Lecanoromycetes" "-148.058593132179" "Lecanorales" "-148.058593132179" "Byssolomataceae" "-148.058593132179" "Micarea" "-148.058593132179" "Micarea" "-148.058593132179"
"ITA87PB02DN8OE" "A809" "ITA87PB02DN8OE" "227" " Ascomycota sp. AR-2010" "35" "0" "0" "0" "0" "ITA87PB02DN8OE" " 320" "KF309963" "Fungi" "-158.185224236029" "Ascomycota" "-158.185224236029" "Dothideomycetes" "-158.185224236029" "Capnodiales" "-127.558470846547" "Mycosphaerellaceae" "-127.558470846547" "Penidiella" "-100.620596911178" "Dothideomycetes" "-158.185224236029"
"ITA87PB02EPIZ8" "A360" "ITA87PB02EPIZ8" "218" " Ascomycota sp. CH-Fn22" "32" "0" "0" "0" "0" "ITA87PB02DQB5N" " 792" "KF516946" "Fungi" "-129.050125723324" "Ascomycota" "-106.024274793384" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "unidentified" "-129.050125723324" "fungal" "-129.050125723324"
"ITA87PB02DE7O4" "A809" "ITA87PB02DE7O4" "208" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02ETNGV" "A608" "ITA87PB02ETNGV" "203" " Ascomycota" "34" "0" "0" "0" "0" "ITA87PB02DWHIU" " 870" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
"ITA87PB02C7UZF" "A440" "ITA87PB02C7UZF" "202" " Fibulobasidium" "30" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02DAE0A" "A243" "ITA87PB02DAE0A" "196" " Anhellia nectandrae" "36" "0" "0" "0" "0" "ITA87PB02DAE0A" " 388" "AM999638" "Fungi" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "uncultured" "-105.918914277726"
"ITA87PB02DVUOK" "A792" "ITA87PB02DVUOK" "195" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02ELYGS" "A280" "ITA87PB02ELYGS" "180" " Fibulobasidium" "37" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02ET9QG" "A434" "ITA87PB02ET9QG" "177" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02EGD80" "A608" "ITA87PB02EGD80" "170" " Ascomycota" "34" "0" "0" "0" "0" "ITA87PB02DWHIU" " 870" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
"ITA87PB02DHBJK" "A360" "ITA87PB02DHBJK" "170" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DROC0" "A670" "ITA87PB02DROC0" "167" " Teratosphaeria cryptica" "38" "0" "0" "0" "0" "ITA87PB02DROC0" " 535" "JN904617" "Fungi" "-53.470282762629" "Ascomycota" "-51.0135469898077" "Dothideomycetes" "-51.0135469898077" "Capnodiales" "-51.0135469898077" "Teratosphaeriaceae" "-49.5582597572009" "Hortaea" "-49.5582597572009" "Dothideomycetes" "-51.0135469898077"
"ITA87PB02DCGVD" "A243" "ITA87PB02DCGVD" "161" " Anhellia nectandrae" "36" "0" "0" "0" "0" "ITA87PB02DAE0A" " 388" "AM999638" "Fungi" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "unidentified" "-105.918914277726" "uncultured" "-105.918914277726"
